field_id,page_no,section,field_name,field_label,data_type,collection_control,requiredness,required_when,description,allowed_values_or_format
KY-025,2,1. Individual / authorised signatory details,tax_residences_tin,Tax residence(s) and TIN,string,text,Required,Individual/signatory KYC,Tax-residency jurisdiction(s) and taxpayer identification number(s).,Country plus TIN for each jurisdiction
KY-026,2,2. Politically exposed person and sanctions,pep_status,PEP status,enum,checkbox,Required,Individual/signatory/UBO KYC,Politically exposed person declaration.,PEP | Related/closely associated with PEP | Neither | Unsure - compliance review required
KY-027,2,2. Politically exposed person and sanctions,pep_details,"PEP office, country, relationship and dates",string,text,Conditional,pep_status is PEP or related/associated,Details needed to assess PEP relationship and duration.,Office; country; relationship; start/end dates
KY-028,2,2. Politically exposed person and sanctions,sanctions_adverse_media_status,Sanctions/adverse-media declaration,enum,checkbox,Required,Individual/signatory/UBO KYC,Applicant's disclosed sanctions or adverse-media status.,No concern known | Potential match disclosed separately
KY-029,2,3. Bank account for verified settlements only,bank_account_holder,Account holder,string,table_text,Required,Every customer settlement profile,Name of holder of verified settlement bank account.,Free text; should match KYC subject unless approved exception
KY-030,2,3. Bank account for verified settlements only,bank_name_branch,Bank and branch,string,table_text,Required,Every customer settlement profile,Settlement bank name and branch.,Free text
KY-031,2,3. Bank account for verified settlements only,bank_account_number,Account no.,string,table_text,Required,Every customer settlement profile,Verified customer settlement account number.,Digits/alphanumeric per bank
KY-032,2,3. Bank account for verified settlements only,bank_ifsc_swift,IFSC / SWIFT,string,table_text,Required,Every customer settlement profile,Domestic IFSC or international SWIFT/BIC routing code.,IFSC or SWIFT/BIC
KY-033,3,"4. Entity, beneficial ownership and control",entity_legal_trading_name,Legal name and trading name,string,text,Required,Entity applicants,Registered legal entity name and any trading name.,Free text
KY-034,3,"4. Entity, beneficial ownership and control",entity_type_incorporation_country,Entity type / incorporation date / country,string,text,Required,Entity applicants,"Entity legal form, incorporation date, and jurisdiction.",Type; DD/MM/YYYY; country
KY-035,3,"4. Entity, beneficial ownership and control",entity_registration_number,CIN/LLPIN/registration no.,string,text,Required,Entity applicants,Entity's official incorporation/registration number.,"CIN, LLPIN, or jurisdiction-specific registration number"
KY-036,3,"4. Entity, beneficial ownership and control",entity_pan_gstin,PAN and GSTIN,string,text,Required,Entity applicants,Entity tax identifiers.,PAN and GSTIN
KY-037,3,"4. Entity, beneficial ownership and control",entity_addresses,Registered and principal business address,address,text,Required,Entity applicants,Registered-office and principal-business addresses.,One or two full postal addresses
KY-038,3,"4. Entity, beneficial ownership and control",entity_business_website,Nature of business and website,string,text,Required,Entity applicants,Business activity description and website.,Free text plus URL if available
KY-039,3,"4. Entity, beneficial ownership and control",authorised_signatory_authority,Authorised signatory and authority document,string,text,Required,Entity applicants,Authorised signatory identity and supporting authority document.,Name; document type/reference
KY-040,3,"4. Entity, beneficial ownership and control",entity_controlling_persons,Directors / partners / trustees / karta,string,text,Required,Entity applicants,Names of persons governing or controlling the entity.,One or more names and roles
KY-041,3,"4. Entity, beneficial ownership and control",entity_operating_funds_turnover,Source of operating funds and expected turnover,string,text,Required,Entity applicants,Operating-funds source and expected business turnover.,Free text; amount/period if supplied
KY-042,3,"4. Entity, beneficial ownership and control",ubo_full_name,UBO/controller full name,string,repeatable_table,Required,Entity applicants,Natural person who meets applicable ownership/control threshold or otherwise exercises control.,One row per UBO/controller
KY-043,3,"4. Entity, beneficial ownership and control",ubo_dob_nationality,UBO DOB / nationality,string,repeatable_table,Required,For each UBO/controller,Birth date and nationality of each UBO/controller.,DD/MM/YYYY; nationality
KY-044,3,"4. Entity, beneficial ownership and control",ubo_pan_id,UBO PAN / ID,string,repeatable_table,Required,For each UBO/controller,PAN or alternate identity document for each UBO/controller.,PAN or ID type/number
KY-045,3,"4. Entity, beneficial ownership and control",ubo_ownership_control,UBO ownership % / control basis,string,repeatable_table,Required,For each UBO/controller,Ownership percentage or explanation of control through other means.,0-100% plus control basis
KY-046,3,"4. Entity, beneficial ownership and control",ubo_pep,UBO PEP,boolean,repeatable_table,Required,For each UBO/controller,Whether each UBO/controller is politically exposed.,Yes | No
KY-047,3,"4. Entity, beneficial ownership and control",fatca_crs_status,FATCA / CRS self-certification,multi_enum,checkbox,Required,Entity applicants,Entity tax-reporting classification and foreign-residency declaration.,India-only tax resident | Foreign tax residence disclosed | Passive entity/controllers disclosed | Classification requires advice
KY-048,3,"4. Entity, beneficial ownership and control",fatca_crs_details,GIIN / foreign TIN / classification details,string,text,Conditional,"Foreign tax residence, GIIN, or classification detail applies",Tax reporting identification and classification evidence.,GIIN; foreign TIN; classification text
KY-049,4,"5. Source of funds, wealth and transaction profile",source_of_funds_category,Source of funds category,multi_enum,checkbox,Required,Every KYC record,Declared source category for transaction funds.,Salary | Business income | Professional income | Sale of asset | Inheritance/gift | Investment income | Borrowing | Other
KY-050,4,"5. Source of funds, wealth and transaction profile",source_of_funds_other,Other source of funds,string,text,Conditional,source_of_funds_category includes Other,Specified source outside listed categories.,Free text
KY-051,4,"5. Source of funds, wealth and transaction profile",transaction_source_specific,Source of funds for this transaction,string,text,Required,Every KYC record,Specific account or asset funding this transaction.,Free text
KY-052,4,"5. Source of funds, wealth and transaction profile",source_of_overall_wealth,Source of overall wealth,string,text,Required,Every KYC record,Narrative source of customer's overall accumulated wealth.,Free text
KY-053,4,"5. Source of funds, wealth and transaction profile",initial_amount,Initial amount,currency,table_text,Required,Every KYC record,Expected initial monetary amount.,INR amount
KY-054,4,"5. Source of funds, wealth and transaction profile",initial_gold_quantity,Initial gold quantity,decimal,table_text,Required,Every KYC record,Expected initial gold quantity.,Grams
KY-055,4,"5. Source of funds, wealth and transaction profile",expected_monthly_activity_value,Expected monthly activity,currency,table_text,Required,Every KYC record,Expected monthly transaction value.,INR amount
KY-056,4,"5. Source of funds, wealth and transaction profile",expected_monthly_transaction_count,Expected transaction count,integer,table_text,Required,Every KYC record,Expected count of transactions per month.,Non-negative integer
KY-057,4,"5. Source of funds, wealth and transaction profile",transaction_purpose,Purpose,enum,text,Required,Every KYC record,Stated purpose for gold relationship/activity.,Purchase | Custody | Trade-linked participation | Other
KY-058,4,"5. Source of funds, wealth and transaction profile",expected_holding_period,Expected holding period,string,text,Required,Every KYC record,Expected duration customer will hold the gold/product position.,Free text duration
KY-059,4,"5. Source of funds, wealth and transaction profile",countries_counterparties,Countries/counterparties involved,string,text,Required,Every KYC record,Relevant countries and counterparties associated with expected activity.,Free text; one or more countries/entities
KY-060,4,"5. Source of funds, wealth and transaction profile",supporting_evidence_types,Supporting evidence attached,multi_enum,checkbox,Conditional,Risk-based or requested by compliance,Evidence supplied for source-of-funds/wealth review.,Bank statement | ITR/audited financials | Salary slips | Sale deed/invoice | Gift deed | Loan papers | Import/export records | Other
KY-061,4,"5. Source of funds, wealth and transaction profile",supporting_evidence_other,Other supporting evidence,string,text,Conditional,supporting_evidence_types includes Other,Description of evidence type not listed.,Free text
KY-062,4,"5. Source of funds, wealth and transaction profile",cash_declaration,Cash proposed declaration,enum,checkbox_text,Required,Every KYC record,"Whether cash funding is proposed and, if so, declared amount/reason.",No cash proposed | Cash proposed
KY-063,4,"5. Source of funds, wealth and transaction profile",cash_amount_reason,Cash amount/reason,string,text,Conditional,cash_declaration = Cash proposed,Amount and business reason for proposed cash.,INR amount plus reason
KY-064,4,"5. Source of funds, wealth and transaction profile",third_party_funding_declaration,Third-party funds declaration,enum,checkbox_text,Required,Every KYC record,Whether a third party will provide funds.,No third-party funds | Third-party funds proposed
KY-065,4,"5. Source of funds, wealth and transaction profile",third_party_funder_details,Third-party payer / relationship / reason,string,text,Conditional,third_party_funding_declaration = proposed,"Identity of payer, relationship to customer, and funding reason.",Name; relationship; reason
KY-066,4,"5. Source of funds, wealth and transaction profile",risk_rating_customer_pep,Customer/PEP risk,enum,company_table,Required,Company use,Company's risk assessment for customer/PEP factor.,Low | Medium | High; notes
KY-067,4,"5. Source of funds, wealth and transaction profile",risk_rating_geography,Geography risk,enum,company_table,Required,Company use,Company's geographic-risk assessment.,Low | Medium | High; notes
KY-068,4,"5. Source of funds, wealth and transaction profile",risk_rating_product_custody,Product/custody risk,enum,company_table,Required,Company use,Company's product and custody risk assessment.,Low | Medium | High; notes
KY-069,4,"5. Source of funds, wealth and transaction profile",risk_rating_channel_payment,Channel/payment risk,enum,company_table,Required,Company use,Company's channel and payment-method risk assessment.,Low | Medium | High; notes
KY-070,4,"5. Source of funds, wealth and transaction profile",risk_rating_source_funds,Source-of-funds risk,enum,company_table,Required,Company use,Company's source-of-funds risk assessment.,Low | Medium | High; notes
KY-071,4,"5. Source of funds, wealth and transaction profile",overall_risk_rating,Overall risk rating,enum,company_table,Required,Company use,Consolidated customer risk rating.,Low | Medium | High; notes
KY-072,5,6. Gold purchase and custody particulars,gold_form,Form,enum,table_text,Required,Gold purchase/custody relationships,Form of gold/product.,Bullion bar | Coin | Jewellery | Digital ledger | Other
KY-073,5,6. Gold purchase and custody particulars,gold_purity_standard,Purity / standard,string,table_text,Required,Gold purchase/custody relationships,Fineness and BIS/HUID/refinery details where applicable.,Fineness; BIS/HUID/refinery reference
KY-074,5,6. Gold purchase and custody particulars,gold_quantity_gross_value,Quantity and gross value,string,table_text,Required,Gold purchase/custody relationships,Gold quantity and gross monetary value.,Grams; INR amount
KY-075,5,6. Gold purchase and custody particulars,pricing_benchmark_time,Pricing benchmark / time,string,table_text,Required,Gold purchase/custody relationships,Price source/benchmark and time of pricing.,Free text; timestamp if available
KY-076,5,6. Gold purchase and custody particulars,fees_taxes,"Taxes, premium, making/storage fees",string,table_text,Required,Gold purchase/custody relationships,Applicable charges and taxes.,Free text or itemized amounts
KY-077,5,6. Gold purchase and custody particulars,title_model,Title model,enum,table_text,Required,Gold purchase/custody relationships,Legal/custodial ownership model.,Allocated | Segregated | Unallocated | Title retained by Company | Other
KY-078,5,6. Gold purchase and custody particulars,vault_custodian_insurance,Vault / custodian / insurance,string,table_text,Conditional,Custody relationship,Custodian name/address and insurance policy scope/reference.,Free text
KY-079,5,6. Gold purchase and custody particulars,gold_unique_identifiers,Unique bar / lot / invoice numbers,string,table_text,Conditional,Allocated/segregated gold or invoice issued,"Identifying bar, lot, and/or invoice reference.",One or more identifiers
KY-080,5,6. Gold purchase and custody particulars,delivery_withdrawal_procedure,Delivery / withdrawal procedure,string,table_text,Required,Gold purchase/custody relationships,"Notice, charges, minimum quantity, and verification process.",Free text
KY-081,5,6. Gold purchase and custody particulars,audit_reconciliation_access,Audit / reconciliation access,string,table_text,Required,Custody relationships,Frequency and evidence supplied for audit/reconciliation.,Frequency and evidence description
KY-082,5,6. Gold purchase and custody particulars,title_custody_acknowledgements,Customer title and custody acknowledgements,multi_boolean,checkbox,Required,Gold purchase/custody relationships,"Five separate acknowledgements on title, disclosures, insolvency/insurance risk, market risk, and no oral term changes.",One affirmative checkbox per statement
KY-083,5,6. Gold purchase and custody particulars,nominee_name,Nominee / authorised claimant name,string,table_text,Optional,If customer appoints a nominee/claimant,Name of nominated/authorised claimant.,Free text
KY-084,5,6. Gold purchase and custody particulars,nominee_relationship,Nominee relationship,string,table_text,Conditional,Nominee name supplied,Relationship of nominee to customer.,Free text
KY-085,5,6. Gold purchase and custody particulars,nominee_dob,Nominee DOB,date,table_text,Conditional,Nominee name supplied,Date of birth of nominee.,DD/MM/YYYY
KY-086,5,6. Gold purchase and custody particulars,nominee_contact,Nominee mobile/email,string,table_text,Conditional,Nominee name supplied,Nominee contact details.,Phone and/or email
KY-087,5,6. Gold purchase and custody particulars,nominee_address_id,Nominee address / ID,string,table_text,Conditional,Nominee name supplied,Nominee address and identity-reference details.,Address and/or ID
KY-088,6,7. Performance-linked arrangement - special disclosure,performance_acknowledgement_initials,Performance-linked acknowledgement initials,multi_string,initials_table,Required,relationship_type = Performance-linked arrangement,Initials against each of eight special risk/return statements.,Eight initials entries
KY-089,7,Company-only regulatory clearance record,external_counsel,External Indian counsel,string,company_text,Required,Before performance-linked acceptance,Counsel name/firm and opinion date/reference.,Name/firm; date; reference
KY-090,7,Company-only regulatory clearance record,regulatory_classification,Regulatory classification,string,company_text,Required,Before performance-linked acceptance,Counsel-determined classification of the arrangement.,CIS | regulated deposit | sale-custody | other
KY-091,7,Company-only regulatory clearance record,registration_approval_basis,Registration / approval / exemption basis,string,company_text,Required,Before performance-linked acceptance,"Authority, number, scope, and validity of relevant approval/exemption.",Free text
KY-092,7,Company-only regulatory clearance record,board_approval,Board approval,string,company_text,Required,Before performance-linked acceptance,Board resolution date and reference.,Date; resolution reference
KY-093,7,Company-only regulatory clearance record,compliance_approval,Compliance approval,string,company_text,Required,Before performance-linked acceptance,"Compliance approver name, signature, and date.",Name; signature; date
KY-094,7,Company-only regulatory clearance record,counsel_review_checklist,Counsel review checklist,multi_boolean,checkbox,Required,Before performance-linked acceptance,"Nine legal/compliance review checks covering flows, regulation, custody, tax, marketing, and licences.",One affirmative checkbox per checklist item
KY-095,8,8. Material risks and customer confirmations,material_risk_initials,Material risk acknowledgements,multi_string,initials_table,Required,Every KYC record,Initials against nine material risk statements.,Nine initials entries
KY-096,8,8. Material risks and customer confirmations,no_reliance_confirmation,No reliance and independent decision,boolean,signature_or_initials,Required,Every KYC record,Customer confirms receipt/review of documents and no reliance on inconsistent oral or promotional claims.,Affirmative acknowledgement
KY-097,9,"9. AML, records, privacy and ongoing duties",ongoing_kyc_acknowledgement,Ongoing KYC acknowledgement,boolean,signature_or_initials,Required,Every KYC record,Acknowledgement to notify material changes and provide refreshed documents.,Affirmative acknowledgement
KY-098,9,"9. AML, records, privacy and ongoing duties",aml_privacy_duties_acknowledgement,"AML, records, privacy and lawful-funds acknowledgement",boolean,signature_or_initials,Required,Every KYC record,"Acknowledgement of monitoring/reporting, retention, privacy, no structuring, and lawful funds/gold duties.",Affirmative acknowledgement
KY-099,9,"10. Complaints, notices and governing documents",grievance_officer_name,Compliance / Grievance Officer name,string,company_text,Required,Company-provided form,Named grievance/compliance contact.,Free text
KY-100,9,"10. Complaints, notices and governing documents",grievance_officer_email,Compliance / Grievance Officer email,email,company_text,Required,Company-provided form,Grievance/compliance contact email.,Valid email
KY-101,9,"10. Complaints, notices and governing documents",grievance_officer_phone,Compliance / Grievance Officer phone,phone,company_text,Required,Company-provided form,Grievance/compliance contact phone.,Phone number
KY-102,9,"10. Complaints, notices and governing documents",grievance_postal_address,Postal address,address,company_text,Required,Company-provided form,Postal grievance/contact address.,Full postal address
KY-103,9,"10. Complaints, notices and governing documents",complaint_ticket_sla,Acknowledgement / ticket SLA,string,company_text,Conditional,When a complaint/acknowledgement is opened,Ticket number and stated response timeline.,Ticket ID; duration/timeline
KY-104,9,"10. Complaints, notices and governing documents",escalation_regulator_odr,Escalation / regulator / ODR,string,company_text,Required,Company-provided final product form,"Counsel-approved escalation, regulator, or online dispute resolution details.",Free text
KY-105,9,Marketing and communication choice,service_communications_consent,Service/transaction communications consent,boolean,checkbox,Required,Every KYC record,Consent to operational service/transaction notices.,Yes | No
KY-106,9,Marketing and communication choice,marketing_communications_consent,Marketing communications consent,enum,checkbox,Required,Every KYC record,Independent choice for marketing communications.,Consent | Do not consent
KY-107,10,11. Applicant declaration and signatures,declaration_acceptance,Applicant declaration acceptance,boolean,signature_or_initials,Required,Every KYC record,"Declaration that information/documents are complete, current, genuine, and beneficial owner/source of funds disclosed.",Affirmative acknowledgement
KY-108,10,11. Applicant declaration and signatures,verification_authorisation,Lawful verification authorisation,boolean,signature_or_initials,Required,Every KYC record,"Authorisation to verify PAN, identity, address, bank account, sanctions/PEP, and beneficial ownership.",Affirmative acknowledgement
KY-109,10,11. Applicant declaration and signatures,completed_copy_received,I received a completed copy,boolean,checkbox,Required,Every KYC record,Customer confirms receipt of completed KYC copy.,Yes | No
KY-110,10,11. Applicant declaration and signatures,disclosures_received,I received the listed disclosures,boolean,checkbox,Required,Every KYC record,Customer confirms receipt of listed product/risk disclosures.,Yes | No
KY-111,10,11. Applicant declaration and signatures,translation_assistance_required,I require translation/assistance,boolean,checkbox,Required,Every KYC record,"Whether customer requests language, translation, or assistance.",Yes | No
KY-112,10,11. Applicant declaration and signatures,assistance_interpreter_details,Language / assistance and interpreter details,string,text,Conditional,translation_assistance_required = Yes,Language and interpreter/assistance details.,Free text
KY-113,10,11. Applicant declaration and signatures,applicant_name,Applicant / authorised signatory name,string,signature_block,Required,Every KYC record,Printed name of applicant or authorised signatory.,Free text
KY-114,10,11. Applicant declaration and signatures,applicant_signature,Applicant / authorised signatory signature,signature,signature_block,Required,Every KYC record,Signature of applicant/authorised signatory.,Handwritten/e-signature
KY-115,10,11. Applicant declaration and signatures,applicant_signature_datetime_place,Applicant date/time/place,string,signature_block,Required,Every KYC record,"Signing date, time, and location for applicant.",Date/time/place
KY-116,10,11. Applicant declaration and signatures,joint_applicant_name,Joint applicant name,string,signature_block,Conditional,Joint applicant exists,Printed name of joint applicant.,Free text
KY-117,10,11. Applicant declaration and signatures,joint_applicant_signature,Joint applicant signature,signature,signature_block,Conditional,Joint applicant exists,Signature of joint applicant.,Handwritten/e-signature
KY-118,10,11. Applicant declaration and signatures,joint_applicant_signature_datetime_place,Joint applicant date/time/place,string,signature_block,Conditional,Joint applicant exists,"Signing date, time, and place for joint applicant.",Date/time/place
KY-119,10,11. Applicant declaration and signatures,witness_interpreter_name_capacity,Witness / interpreter name and capacity,string,signature_block,Conditional,Witness or interpreter used,Name and capacity/role of witness or interpreter.,Free text
KY-120,10,11. Applicant declaration and signatures,witness_interpreter_address_contact,Witness / interpreter address/contact,string,signature_block,Conditional,Witness or interpreter used,Address and contact details of witness/interpreter.,Address/contact
KY-121,10,11. Applicant declaration and signatures,witness_interpreter_signature_date,Witness / interpreter signature/date,string,signature_block,Conditional,Witness or interpreter used,Witness/interpreter signature and date.,Signature; date
KY-122,10,12. Company verification and approval,original_digital_verification,Original-seen / digital verification,string,company_table,Required,Company use,"Verification method, reviewer, date, and result.",Free text
KY-123,10,12. Company verification and approval,pan_bank_verification,PAN and bank verification,string,company_table,Required,Company use,PAN and bank-account verification outcome.,Free text
KY-124,10,12. Company verification and approval,screening_result,PEP/sanctions/adverse media,string,company_table,Required,Company use,Screening completion and result.,Free text
KY-125,10,12. Company verification and approval,beneficial_ownership_verification,Beneficial ownership,string,company_table,Required,Company use when applicable,UBO/control verification result.,Free text
KY-126,10,12. Company verification and approval,source_funds_wealth_verification,Source of funds/wealth,string,company_table,Required,Company use,Review result for source of funds and wealth.,Free text
KY-127,10,12. Company verification and approval,edd_approval,Risk rating / EDD approval,string,company_table,Required,Company use,Risk-rating result and enhanced due-diligence approval when needed.,Free text
KY-128,10,12. Company verification and approval,product_eligibility,Product eligibility,string,company_table,Required,Company use,Eligibility decision for selected product relationship.,Eligible | Ineligible | Hold plus reason
KY-129,10,12. Company verification and approval,compliance_final_decision,Compliance final decision,enum,company_table,Required,Company use,Final KYC compliance decision with approver signature/date.,Approve | Reject | Hold; name/sign/date
KY-130,10,12. Company verification and approval,compliance_officer_signature_date,Authorised compliance officer signature and date,string,signature_block,Required,Company use,Authorised compliance officer's final certification signature/date.,Signature; date
KY-131,11,Annexure A - document checklist,document_checklist_entry,Document checklist entry,repeatable_object,checklist_table,Required,Every KYC record,"One checklist record per required/conditional document, including received/verified/expiry status.",Document; applicability; status/date/expiry
KY-132,11,Annexure A - document checklist,document_received_verified_expiry,Received / verified / expiry,string,checklist_text,Required,For each applicable document,"Evidence receipt, verification date/status, and expiry information.",Date/status/expiry text
KY-133,11,Annexure B - documents that must accompany this KYC,accompanying_document_pack,Mandatory accompanying-document pack,multi_boolean,document_checklist,Required,Every KYC package,"Presence of definitive agreement, invoice/title-custody schedule, fee/tax schedule, risk/conflicts disclosure, privacy/consent, grievance policy, AML/KYC policy, and where applicable legal opinion/approvals/licences.",One status per listed document
